City_Name,Lattitude,Longitude,Temperature(F),Humidity,Cloudiness,Windiness(mph)
tiksi,71.64,128.87,-39.2,82,32,3.04
busselton,-33.64,115.35,64.08,100,76,10.76
aviles,43.55,-5.92,48.2,76,75,6.93
rikitea,-23.12,-134.97,80.82,99,0,14.0
saint george,39.45,22.34,42.8,93,40,3.6
ilulissat,69.22,-51.1,17.6,72,76,11.41
hilo,19.71,-155.08,75.02,47,40,21.92
port alfred,-33.59,26.89,73.08,79,0,20.83
dikson,73.51,80.55,-19.98,88,0,8.75
pacific grove,36.62,-121.92,66.2,80,20,3.36
atuona,-9.8,-139.03,80.33,100,80,18.25
viedma,-40.81,-62.99,83.12,32,0,9.19
lebu,8.96,38.73,55.4,54,0,9.17
aykhal,65.95,111.51,-33.8,57,56,3.49
kamenka,53.19,44.05,13.01,88,80,6.73
kavieng,-2.57,150.8,84.65,100,24,6.85
ostrovnoy,68.05,39.51,-4.68,79,0,10.76
morshansk,53.44,41.81,18.41,93,80,6.85
golden,51.3,-116.96,23.0,79,20,2.24
smithers,54.78,-127.17,26.6,86,20,3.36
ushuaia,-54.81,-68.31,48.2,57,40,21.92
avera,33.19,-82.53,55.04,45,1,6.85
punta arenas,-53.16,-70.91,50.0,53,40,25.28
yertsevo,60.8,40.09,10.58,85,80,10.65
itapecerica,-20.47,-45.13,77.67,53,20,11.88
naze,5.43,7.07,73.62,95,12,4.05
hualmay,-11.1,-77.61,72.95,78,48,3.49
abha,18.22,42.5,57.2,54,0,1.25
watsa,3.04,29.53,74.21,65,88,3.27
buraydah,26.33,43.97,55.4,100,20,6.93
umkomaas,-30.21,30.8,63.18,95,8,4.61
namatanai,-3.66,152.44,84.02,99,24,11.21
leh,34.16,77.58,-41.58,56,12,0.47
junin,-16.45,-71.58,53.6,100,90,6.93
kapaa,22.08,-159.32,78.08,49,20,25.28
byron bay,-28.65,153.62,86.0,54,40,9.17
puerto ayora,-0.74,-90.35,84.2,70,20,13.87
lethem,3.38,-59.8,85.68,55,8,17.25
ponta do sol,-20.63,-46.0,72.32,80,36,3.15
mahanoro,-19.9,48.8,70.43,100,100,3.71
atasu,48.68,71.64,-2.66,59,0,14.23
jamestown,-33.21,138.6,73.49,95,0,4.38
hobart,-42.88,147.33,82.4,45,0,20.8
hermanus,-34.42,19.24,63.5,84,0,2.48
saint-pierre,48.95,4.24,35.6,95,0,8.05
tramandai,-29.98,-50.13,76.37,89,48,6.96
